clf,dataset_name,dataset_type,auc,cosine_projection-not_fixed,max_n
RSIF,36_speech,numerical,0.4926,2.0,2
RSIF,36_speech,numerical,0.5086,2.0,2
RSIF,36_speech,numerical,0.4532,2.0,2
RSIF,36_speech,numerical,0.4558,2.0,2
RSIF,36_speech,numerical,0.529,2.0,2
RSIF,36_speech,numerical,0.6092,2.0,2
RSIF,36_speech,numerical,0.3177,2.0,2
RSIF,36_speech,numerical,0.5451,2.0,2
RSIF,36_speech,numerical,0.5374,3.0,3
RSIF,36_speech,numerical,0.6109,3.0,3
RSIF,36_speech,numerical,0.4796,3.0,3
RSIF,36_speech,numerical,0.6039,3.0,3
RSIF,36_speech,numerical,0.4619,3.0,3
RSIF,36_speech,numerical,0.5571,3.0,3
RSIF,36_speech,numerical,0.4107,3.0,3
RSIF,36_speech,numerical,0.5311,3.0,3
RSIF,36_speech,numerical,0.5069,3.0,3
RSIF,36_speech,numerical,0.4993,3.0,3
RSIF,36_speech,numerical,0.5486,5.0,5
RSIF,36_speech,numerical,0.5242,5.0,5
RSIF,36_speech,numerical,0.3898,5.0,5
RSIF,36_speech,numerical,0.5184,5.0,5
RSIF,36_speech,numerical,0.6203,5.0,5
RSIF,36_speech,numerical,0.3027,5.0,5
RSIF,36_speech,numerical,0.5611,5.0,5
RSIF,36_speech,numerical,0.4308,5.0,5
RSIF,36_speech,numerical,0.4314,5.0,5
RSIF,36_speech,numerical,0.497,5.0,5
RSIF,36_speech,numerical,0.5484,0.25,100
RSIF,36_speech,numerical,0.4093,0.25,100
RSIF,36_speech,numerical,0.623,0.25,100
RSIF,36_speech,numerical,0.3401,0.25,100
RSIF,36_speech,numerical,0.5349,0.25,100
RSIF,36_speech,numerical,0.6702,0.25,100
RSIF,36_speech,numerical,0.4428,0.25,100
RSIF,36_speech,numerical,0.4478,0.25,100
RSIF,36_speech,numerical,0.4819,0.25,100
RSIF,36_speech,numerical,0.4751,0.25,100
RSIF,36_speech,numerical,0.5071,0.5,200
RSIF,36_speech,numerical,0.5669,0.5,200
RSIF,36_speech,numerical,0.5028,0.5,200
RSIF,36_speech,numerical,0.5145,0.5,200
RSIF,36_speech,numerical,0.5772,0.5,200
RSIF,36_speech,numerical,0.5821,0.5,200
RSIF,36_speech,numerical,0.4325,0.5,200
RSIF,36_speech,numerical,0.4203,0.5,200
RSIF,36_speech,numerical,0.3581,0.5,200
RSIF,36_speech,numerical,0.4249,0.5,200
RSIF,36_speech,numerical,0.5133,0.75,300
RSIF,36_speech,numerical,0.5783,0.75,300
RSIF,36_speech,numerical,0.5209,0.75,300
RSIF,36_speech,numerical,0.4011,0.75,300
RSIF,36_speech,numerical,0.5143,0.75,300
RSIF,36_speech,numerical,0.5309,0.75,300
RSIF,36_speech,numerical,0.4201,0.75,300
RSIF,36_speech,numerical,0.4281,0.75,300
RSIF,36_speech,numerical,0.5544,0.75,300
RSIF,36_speech,numerical,0.2893,0.75,300
RSIF,36_speech,numerical,0.5159,1.0,400
RSIF,36_speech,numerical,0.5172,1.0,400
RSIF,36_speech,numerical,0.4758,1.0,400
RSIF,36_speech,numerical,0.4397,1.0,400
RSIF,36_speech,numerical,0.3859,1.0,400
RSIF,36_speech,numerical,0.5433,1.0,400
RSIF,36_speech,numerical,0.3652,1.0,400
RSIF,36_speech,numerical,0.3632,1.0,400
RSIF,36_speech,numerical,0.4247,1.0,400
RSIF,36_speech,numerical,0.3934,1.0,400
RSIF,6_cardio,numerical,0.5245,2.0,2
RSIF,6_cardio,numerical,0.3602,2.0,2
RSIF,6_cardio,numerical,0.4579,2.0,2
RSIF,6_cardio,numerical,0.4049,2.0,2
RSIF,6_cardio,numerical,0.5166,2.0,2
RSIF,6_cardio,numerical,0.4695,2.0,2
RSIF,6_cardio,numerical,0.4804,2.0,2
RSIF,6_cardio,numerical,0.5098,2.0,2
RSIF,6_cardio,numerical,0.5156,2.0,2
RSIF,6_cardio,numerical,0.4575,2.0,2
RSIF,6_cardio,numerical,0.5361,3.0,3
RSIF,6_cardio,numerical,0.4569,3.0,3
RSIF,6_cardio,numerical,0.602,3.0,3
RSIF,6_cardio,numerical,0.4632,3.0,3
RSIF,6_cardio,numerical,0.4328,3.0,3
RSIF,6_cardio,numerical,0.5278,3.0,3
RSIF,6_cardio,numerical,0.508,3.0,3
RSIF,6_cardio,numerical,0.4061,3.0,3
RSIF,6_cardio,numerical,0.4081,3.0,3
RSIF,6_cardio,numerical,0.5171,3.0,3
RSIF,6_cardio,numerical,0.576,5.0,5
RSIF,6_cardio,numerical,0.4362,5.0,5
RSIF,6_cardio,numerical,0.5914,5.0,5
RSIF,6_cardio,numerical,0.5702,5.0,5
RSIF,6_cardio,numerical,0.4264,5.0,5
RSIF,6_cardio,numerical,0.566,5.0,5
RSIF,6_cardio,numerical,0.4497,5.0,5
RSIF,6_cardio,numerical,0.4897,5.0,5
RSIF,6_cardio,numerical,0.5088,5.0,5
RSIF,6_cardio,numerical,0.5657,5.0,5
RSIF,6_cardio,numerical,0.576,0.25,5
RSIF,6_cardio,numerical,0.4362,0.25,5
RSIF,6_cardio,numerical,0.5914,0.25,5
RSIF,6_cardio,numerical,0.5702,0.25,5
RSIF,6_cardio,numerical,0.4264,0.25,5
RSIF,6_cardio,numerical,0.566,0.25,5
RSIF,6_cardio,numerical,0.4497,0.25,5
RSIF,6_cardio,numerical,0.4897,0.25,5
RSIF,6_cardio,numerical,0.5088,0.25,5
RSIF,6_cardio,numerical,0.5657,0.25,5
RSIF,6_cardio,numerical,0.7028,0.5,10
RSIF,6_cardio,numerical,0.5379,0.5,10
RSIF,6_cardio,numerical,0.6491,0.5,10
RSIF,6_cardio,numerical,0.6897,0.5,10
RSIF,6_cardio,numerical,0.6646,0.5,10
RSIF,6_cardio,numerical,0.7392,0.5,10
RSIF,6_cardio,numerical,0.4304,0.5,10
RSIF,6_cardio,numerical,0.597,0.5,10
RSIF,6_cardio,numerical,0.7131,0.5,10
RSIF,6_cardio,numerical,0.7415,0.5,10
RSIF,6_cardio,numerical,0.799,0.75,15
RSIF,6_cardio,numerical,0.7292,0.75,15
RSIF,6_cardio,numerical,0.7831,0.75,15
RSIF,6_cardio,numerical,0.7883,0.75,15
RSIF,6_cardio,numerical,0.8082,0.75,15
RSIF,6_cardio,numerical,0.7754,0.75,15
RSIF,6_cardio,numerical,0.6698,0.75,15
RSIF,6_cardio,numerical,0.7837,0.75,15
RSIF,6_cardio,numerical,0.6323,0.75,15
RSIF,6_cardio,numerical,0.6776,0.75,15
RSIF,6_cardio,numerical,0.8374,1.0,21
RSIF,6_cardio,numerical,0.7695,1.0,21
RSIF,6_cardio,numerical,0.8056,1.0,21
RSIF,6_cardio,numerical,0.7362,1.0,21
RSIF,6_cardio,numerical,0.776,1.0,21
RSIF,6_cardio,numerical,0.8472,1.0,21
RSIF,6_cardio,numerical,0.8322,1.0,21
RSIF,6_cardio,numerical,0.7598,1.0,21
RSIF,6_cardio,numerical,0.8612,1.0,21
RSIF,6_cardio,numerical,0.8833,1.0,21
RSIF,26_optdigits,numerical,0.7823,2.0,2
RSIF,26_optdigits,numerical,0.7608,2.0,2
RSIF,26_optdigits,numerical,0.7404,2.0,2
RSIF,26_optdigits,numerical,0.8533,2.0,2
RSIF,26_optdigits,numerical,0.8476,2.0,2
RSIF,26_optdigits,numerical,0.7685,2.0,2
RSIF,26_optdigits,numerical,0.8737,2.0,2
RSIF,26_optdigits,numerical,0.799,2.0,2
RSIF,26_optdigits,numerical,0.8866,2.0,2
RSIF,26_optdigits,numerical,0.7975,2.0,2
RSIF,26_optdigits,numerical,0.7668,3.0,3
RSIF,26_optdigits,numerical,0.8118,3.0,3
RSIF,26_optdigits,numerical,0.7928,3.0,3
RSIF,26_optdigits,numerical,0.8784,3.0,3
RSIF,26_optdigits,numerical,0.7163,3.0,3
RSIF,26_optdigits,numerical,0.9152,3.0,3
RSIF,26_optdigits,numerical,0.7483,3.0,3
RSIF,26_optdigits,numerical,0.8428,3.0,3
RSIF,26_optdigits,numerical,0.9015,3.0,3
RSIF,26_optdigits,numerical,0.8258,3.0,3
RSIF,26_optdigits,numerical,0.7596,5.0,5
RSIF,26_optdigits,numerical,0.876,5.0,5
RSIF,26_optdigits,numerical,0.7007,5.0,5
RSIF,26_optdigits,numerical,0.8275,5.0,5
RSIF,26_optdigits,numerical,0.7407,5.0,5
RSIF,26_optdigits,numerical,0.7616,5.0,5
RSIF,26_optdigits,numerical,0.7332,5.0,5
RSIF,26_optdigits,numerical,0.7155,5.0,5
RSIF,26_optdigits,numerical,0.7535,5.0,5
RSIF,26_optdigits,numerical,0.6642,5.0,5
RSIF,26_optdigits,numerical,0.58,0.25,16
RSIF,26_optdigits,numerical,0.2562,0.25,16
RSIF,26_optdigits,numerical,0.4256,0.25,16
RSIF,26_optdigits,numerical,0.703,0.25,16
RSIF,26_optdigits,numerical,0.6533,0.25,16
RSIF,26_optdigits,numerical,0.6964,0.25,16
RSIF,26_optdigits,numerical,0.6435,0.25,16
RSIF,26_optdigits,numerical,0.5198,0.25,16
RSIF,26_optdigits,numerical,0.6205,0.25,16
RSIF,26_optdigits,numerical,0.6277,0.25,16
RSIF,26_optdigits,numerical,0.4161,0.5,32
RSIF,26_optdigits,numerical,0.3828,0.5,32
RSIF,26_optdigits,numerical,0.4312,0.5,32
RSIF,26_optdigits,numerical,0.4117,0.5,32
RSIF,26_optdigits,numerical,0.5387,0.5,32
RSIF,26_optdigits,numerical,0.6159,0.5,32
RSIF,26_optdigits,numerical,0.5591,0.5,32
RSIF,26_optdigits,numerical,0.3806,0.5,32
RSIF,26_optdigits,numerical,0.5836,0.5,32
RSIF,26_optdigits,numerical,0.568,0.5,32
RSIF,26_optdigits,numerical,0.2631,0.75,48
RSIF,26_optdigits,numerical,0.3358,0.75,48
RSIF,26_optdigits,numerical,0.4258,0.75,48
RSIF,26_optdigits,numerical,0.3761,0.75,48
RSIF,26_optdigits,numerical,0.6275,0.75,48
RSIF,26_optdigits,numerical,0.6774,0.75,48
RSIF,26_optdigits,numerical,0.5098,0.75,48
RSIF,26_optdigits,numerical,0.3918,0.75,48
RSIF,26_optdigits,numerical,0.3283,0.75,48
RSIF,26_optdigits,numerical,0.3584,0.75,48
RSIF,26_optdigits,numerical,0.4014,1.0,64
RSIF,26_optdigits,numerical,0.3816,1.0,64
RSIF,26_optdigits,numerical,0.5765,1.0,64
RSIF,26_optdigits,numerical,0.4143,1.0,64
RSIF,26_optdigits,numerical,0.4061,1.0,64
RSIF,26_optdigits,numerical,0.4448,1.0,64
RSIF,26_optdigits,numerical,0.5784,1.0,64
RSIF,26_optdigits,numerical,0.3323,1.0,64
RSIF,26_optdigits,numerical,0.3726,1.0,64
RSIF,26_optdigits,numerical,0.4798,1.0,64
RSIF,TwoLeadECG,timeseries,0.8368,2.0,2
RSIF,TwoLeadECG,timeseries,0.8133,2.0,2
RSIF,TwoLeadECG,timeseries,0.7352,2.0,2
RSIF,TwoLeadECG,timeseries,0.7943,2.0,2
RSIF,TwoLeadECG,timeseries,0.5816,2.0,2
RSIF,TwoLeadECG,timeseries,0.7816,2.0,2
RSIF,TwoLeadECG,timeseries,0.6584,2.0,2
RSIF,TwoLeadECG,timeseries,0.607,2.0,2
RSIF,TwoLeadECG,timeseries,0.6273,2.0,2
RSIF,TwoLeadECG,timeseries,0.6127,2.0,2
RSIF,TwoLeadECG,timeseries,0.8514,3.0,3
RSIF,TwoLeadECG,timeseries,0.76,3.0,3
RSIF,TwoLeadECG,timeseries,0.6946,3.0,3
RSIF,TwoLeadECG,timeseries,0.7937,3.0,3
RSIF,TwoLeadECG,timeseries,0.6114,3.0,3
RSIF,TwoLeadECG,timeseries,0.7314,3.0,3
RSIF,TwoLeadECG,timeseries,0.6756,3.0,3
RSIF,TwoLeadECG,timeseries,0.6578,3.0,3
RSIF,TwoLeadECG,timeseries,0.6,3.0,3
RSIF,TwoLeadECG,timeseries,0.5848,3.0,3
RSIF,TwoLeadECG,timeseries,0.7956,5.0,5
RSIF,TwoLeadECG,timeseries,0.6622,5.0,5
RSIF,TwoLeadECG,timeseries,0.6527,5.0,5
RSIF,TwoLeadECG,timeseries,0.7702,5.0,5
RSIF,TwoLeadECG,timeseries,0.6286,5.0,5
RSIF,TwoLeadECG,timeseries,0.7556,5.0,5
RSIF,TwoLeadECG,timeseries,0.6559,5.0,5
RSIF,TwoLeadECG,timeseries,0.6203,5.0,5
RSIF,TwoLeadECG,timeseries,0.5816,5.0,5
RSIF,TwoLeadECG,timeseries,0.56,5.0,5
RSIF,TwoLeadECG,timeseries,0.7898,0.25,20
RSIF,TwoLeadECG,timeseries,0.7003,0.25,20
RSIF,TwoLeadECG,timeseries,0.687,0.25,20
RSIF,TwoLeadECG,timeseries,0.767,0.25,20
RSIF,TwoLeadECG,timeseries,0.6216,0.25,20
RSIF,TwoLeadECG,timeseries,0.7213,0.25,20
RSIF,TwoLeadECG,timeseries,0.687,0.25,20
RSIF,TwoLeadECG,timeseries,0.687,0.25,20
RSIF,TwoLeadECG,timeseries,0.5778,0.25,20
RSIF,TwoLeadECG,timeseries,0.6571,0.25,20
RSIF,TwoLeadECG,timeseries,0.7829,0.5,41
RSIF,TwoLeadECG,timeseries,0.6527,0.5,41
RSIF,TwoLeadECG,timeseries,0.7035,0.5,41
RSIF,TwoLeadECG,timeseries,0.8006,0.5,41
RSIF,TwoLeadECG,timeseries,0.647,0.5,41
RSIF,TwoLeadECG,timeseries,0.7498,0.5,41
RSIF,TwoLeadECG,timeseries,0.6514,0.5,41
RSIF,TwoLeadECG,timeseries,0.6584,0.5,41
RSIF,TwoLeadECG,timeseries,0.64,0.5,41
RSIF,TwoLeadECG,timeseries,0.6121,0.5,41
RSIF,TwoLeadECG,timeseries,0.8171,0.75,61
RSIF,TwoLeadECG,timeseries,0.7225,0.75,61
RSIF,TwoLeadECG,timeseries,0.6724,0.75,61
RSIF,TwoLeadECG,timeseries,0.7848,0.75,61
RSIF,TwoLeadECG,timeseries,0.6038,0.75,61
RSIF,TwoLeadECG,timeseries,0.7733,0.75,61
RSIF,TwoLeadECG,timeseries,0.6013,0.75,61
RSIF,TwoLeadECG,timeseries,0.6648,0.75,61
RSIF,TwoLeadECG,timeseries,0.6825,0.75,61
RSIF,TwoLeadECG,timeseries,0.5657,0.75,61
RSIF,TwoLeadECG,timeseries,0.8317,1.0,82
RSIF,TwoLeadECG,timeseries,0.7613,1.0,82
RSIF,TwoLeadECG,timeseries,0.6571,1.0,82
RSIF,TwoLeadECG,timeseries,0.7308,1.0,82
RSIF,TwoLeadECG,timeseries,0.6095,1.0,82
RSIF,TwoLeadECG,timeseries,0.7841,1.0,82
RSIF,TwoLeadECG,timeseries,0.6559,1.0,82
RSIF,TwoLeadECG,timeseries,0.7378,1.0,82
RSIF,TwoLeadECG,timeseries,0.7073,1.0,82
RSIF,TwoLeadECG,timeseries,0.621,1.0,82
RSIF,agnews_1,nlp,0.5747,2.0,2
RSIF,agnews_1,nlp,0.5836,2.0,2
RSIF,agnews_1,nlp,0.5219,2.0,2
RSIF,agnews_1,nlp,0.5444,2.0,2
RSIF,agnews_1,nlp,0.4755,2.0,2
RSIF,agnews_1,nlp,0.6476,2.0,2
RSIF,agnews_1,nlp,0.5274,2.0,2
RSIF,agnews_1,nlp,0.5372,2.0,2
RSIF,agnews_1,nlp,0.516,2.0,2
RSIF,agnews_1,nlp,0.4768,2.0,2
RSIF,agnews_1,nlp,0.5586,3.0,3
RSIF,agnews_1,nlp,0.6143,3.0,3
RSIF,agnews_1,nlp,0.5585,3.0,3
RSIF,agnews_1,nlp,0.6146,3.0,3
RSIF,agnews_1,nlp,0.5342,3.0,3
RSIF,agnews_1,nlp,0.5875,3.0,3
RSIF,agnews_1,nlp,0.4681,3.0,3
RSIF,agnews_1,nlp,0.5361,3.0,3
RSIF,agnews_1,nlp,0.5373,3.0,3
RSIF,agnews_1,nlp,0.5099,3.0,3
RSIF,agnews_1,nlp,0.5548,5.0,5
RSIF,agnews_1,nlp,0.5177,5.0,5
RSIF,agnews_1,nlp,0.5158,5.0,5
RSIF,agnews_1,nlp,0.5244,5.0,5
RSIF,agnews_1,nlp,0.413,5.0,5
RSIF,agnews_1,nlp,0.5151,5.0,5
RSIF,agnews_1,nlp,0.514,5.0,5
RSIF,agnews_1,nlp,0.4491,5.0,5
RSIF,agnews_1,nlp,0.5902,5.0,5
RSIF,agnews_1,nlp,0.5892,5.0,5
RSIF,agnews_1,nlp,0.396,0.25,192
RSIF,agnews_1,nlp,0.419,0.25,192
RSIF,agnews_1,nlp,0.4068,0.25,192
RSIF,agnews_1,nlp,0.4939,0.25,192
RSIF,agnews_1,nlp,0.4758,0.25,192
RSIF,agnews_1,nlp,0.3962,0.25,192
RSIF,agnews_1,nlp,0.4494,0.25,192
RSIF,agnews_1,nlp,0.4245,0.25,192
RSIF,agnews_1,nlp,0.4684,0.25,192
RSIF,agnews_1,nlp,0.4367,0.25,192
RSIF,agnews_1,nlp,0.4066,0.5,384
RSIF,agnews_1,nlp,0.4396,0.5,384
RSIF,agnews_1,nlp,0.3784,0.5,384
RSIF,agnews_1,nlp,0.5042,0.5,384
RSIF,agnews_1,nlp,0.4516,0.5,384
RSIF,agnews_1,nlp,0.4145,0.5,384
RSIF,agnews_1,nlp,0.4527,0.5,384
RSIF,agnews_1,nlp,0.4061,0.5,384
RSIF,agnews_1,nlp,0.426,0.5,384
RSIF,agnews_1,nlp,0.4463,0.5,384
RSIF,agnews_1,nlp,0.3933,0.75,576
RSIF,agnews_1,nlp,0.4023,0.75,576
RSIF,agnews_1,nlp,0.3792,0.75,576
RSIF,agnews_1,nlp,0.4379,0.75,576
RSIF,agnews_1,nlp,0.4272,0.75,576
RSIF,agnews_1,nlp,0.3865,0.75,576
RSIF,agnews_1,nlp,0.4052,0.75,576
RSIF,agnews_1,nlp,0.3949,0.75,576
RSIF,agnews_1,nlp,0.3888,0.75,576
RSIF,agnews_1,nlp,0.4395,0.75,576
RSIF,agnews_1,nlp,0.3696,1.0,768
RSIF,agnews_1,nlp,0.3964,1.0,768
RSIF,agnews_1,nlp,0.3654,1.0,768
RSIF,agnews_1,nlp,0.4581,1.0,768
RSIF,agnews_1,nlp,0.4298,1.0,768
RSIF,agnews_1,nlp,0.3785,1.0,768
RSIF,agnews_1,nlp,0.4308,1.0,768
RSIF,agnews_1,nlp,0.4009,1.0,768
RSIF,agnews_1,nlp,0.4096,1.0,768
RSIF,agnews_1,nlp,0.4122,1.0,768
